,Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.08,-159.32,24,83,40,4.6,US,1589608923
1,portland,45.52,-122.68,14.44,71,20,1.5,US,1589608872
2,punta arenas,-53.15,-70.92,5,93,90,3.6,CL,1589608923
3,chuy,-33.7,-53.46,12.73,75,18,5.31,UY,1589608923
4,victoria,22.29,114.16,31.11,66,8,7.15,HK,1589608661
5,provideniya,64.38,-173.3,4.96,66,13,5.36,RU,1589609313
6,denpasar,-8.65,115.22,28.03,78,94,5.98,ID,1589609114
7,atuona,-9.8,-139.03,27.13,76,1,5.87,PF,1589609314
8,vilkaviskis,54.65,23.03,8.94,78,39,7.83,LT,1589609314
9,albany,42.6,-73.97,16.67,73,100,2.24,US,1589609265
10,saint-philippe,-21.36,55.77,27,57,20,2.1,RE,1589609314
11,hermanus,-34.42,19.23,7.78,77,28,0.45,ZA,1589609314
12,montes claros,-16.73,-43.86,19.13,92,46,0.52,BR,1589609315
13,east london,-33.02,27.91,14,67,33,4.6,ZA,1589609315
14,goderich,43.75,-81.72,6.67,87,2,3.67,CA,1589608926
15,artyom,40.47,50.33,20,77,40,7.7,AZ,1589608927
16,ushuaia,-54.8,-68.3,5,80,75,1.93,AR,1589608927
17,hualmay,-11.1,-77.61,18.07,85,16,2.58,PE,1589608927
18,illoqqortoormiut,,,,,,,,
19,avarua,-21.21,-159.78,25,83,75,6.2,CK,1589608928
20,castro,-24.79,-50.01,10.55,96,2,1.24,BR,1589608746
21,mataura,-46.19,168.86,6.76,91,5,0.24,NZ,1589608928
22,vaini,-21.2,-175.2,24,73,75,3.1,TO,1589608928
23,chokurdakh,70.63,147.92,0.65,93,0,5.62,RU,1589608929
24,saint-louis,16.33,-15,24.86,26,0,2.91,SN,1589608929
25,pangnirtung,66.15,-65.71,-2.4,86,87,1.7,CA,1589608929
26,dera bugti,29.03,69.15,34.23,11,40,3.35,PK,1589608929
27,kopanskaya,46.28,38.48,18.29,74,93,5.58,RU,1589608930
28,cape town,-33.93,18.42,10,93,33,1,ZA,1589608857
29,coquimbo,-29.95,-71.34,11,81,0,0.42,CL,1589608930
30,hilo,19.73,-155.09,26,69,90,2.1,US,1589608911
