,Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.08,-159.32,27,69,20,4.6,US,1589599978
1,portland,45.52,-122.68,17.78,65,100,1.64,US,1589599787
2,punta arenas,-53.15,-70.92,5,93,90,2.6,CL,1589599824
3,chuy,-33.7,-53.46,12.88,73,26,5.35,UY,1589599824
4,victoria,22.29,114.16,32.22,70,7,2.68,HK,1589599559
5,provideniya,64.38,-173.3,6.3,60,0,5.35,RU,1589599725
6,denpasar,-8.65,115.22,29,94,40,8.7,ID,1589599692
7,atuona,-9.8,-139.03,27.34,70,0,5.46,PF,1589599725
8,vilkaviskis,54.65,23.03,4.84,90,53,6.33,LT,1589599725
9,albany,42.6,-73.97,17.78,78,100,3.66,US,1589599726
10,saint-philippe,-21.36,55.77,23,64,90,2.6,RE,1589599726
11,hermanus,-34.42,19.23,13.72,78,56,2.92,ZA,1589599559
12,montes claros,-16.73,-43.86,19.65,88,38,0.55,BR,1589599726
13,east london,-33.02,27.91,16.58,65,66,7.02,ZA,1589599726
14,goderich,43.75,-81.72,7.22,86,0,4.37,CA,1589599727
15,artyom,40.47,50.33,17,93,75,5.1,AZ,1589599727
16,ushuaia,-54.8,-68.3,4,86,75,3.6,AR,1589599727
17,hualmay,-11.1,-77.61,18.42,85,9,2.7,PE,1589599727
18,illoqqortoormiut,,,,,,,,
19,avarua,-21.21,-159.78,27,78,75,5.7,CK,1589600199
20,castro,-24.79,-50.01,10.98,95,1,1.24,BR,1589600199
21,mataura,-46.19,168.86,11.71,71,7,0.27,NZ,1589600151
22,vaini,-21.2,-175.2,26,69,75,4.6,TO,1589600200
23,chokurdakh,70.63,147.92,0.81,92,0,6.04,RU,1589600201
24,saint-louis,16.33,-15,30,28,0,1,SN,1589600201
25,pangnirtung,66.15,-65.71,-1.9,88,84,1.46,CA,1589600201
26,dera bugti,29.03,69.15,32.56,13,20,2.52,PK,1589600202
27,kopanskaya,46.28,38.48,15.66,86,92,3.84,RU,1589600202
28,cape town,-33.93,18.42,8,93,50,1.5,ZA,1589600048
29,coquimbo,-29.95,-71.34,12,81,0,1,CL,1589600202
30,hilo,19.73,-155.09,27,61,90,4.6,US,1589600202
31,storsteinnes,69.24,19.23,3,51,93,8.7,NO,1589600203
32,olga,43.74,135.29,16.01,60,99,2.89,RU,1589600203
33,forestville,38.85,-76.88,25,53,20,4.6,US,1589600203
34,thompson,55.74,-97.86,1,43,75,4.11,CA,1589600203
35,buin,-33.73,-70.75,13,47,0,2.1,CL,1589600203
36,busselton,-33.65,115.33,18.33,37,20,4.04,AU,1589600204
37,leh,34.17,77.58,7.51,46,0,1.52,IN,1589600204
38,airai,-8.93,125.41,21.35,88,67,1.96,TL,1589600204
39,kilrush,52.64,-9.48,8,87,75,1,IE,1589600204
40,puerto ayora,-0.74,-90.35,23.89,93,65,1.34,EC,1589600204
41,college,64.86,-147.8,18,23,20,4.6,US,1589600205
42,pemangkat,1.17,108.97,29.22,75,22,1.83,ID,1589600205
43,tiarei,-17.53,-149.33,29,74,75,4.1,PF,1589600205
44,attawapiskat,,,,,,,,
45,alyangula,-13.85,136.42,29,70,90,4.1,AU,1589600205
46,rikitea,-23.12,-134.97,23.68,84,63,9.44,PF,1589600206
47,khandyga,62.67,135.6,15.8,45,1,3.4,RU,1589600177
48,la ronge,55.1,-105.28,8,42,40,2.6,CA,1589600206
49,vizinga,61.07,50.1,3.58,95,100,4.36,RU,1589600206
50,yakeshi,49.28,120.73,20.62,35,88,10.57,CN,1589600206
51,conceicao do araguaia,-8.26,-49.26,27,83,3,1.5,BR,1589600207
52,barrow,71.29,-156.79,-2,86,90,7.7,US,1589600207
53,saskylakh,71.92,114.08,0.5,97,100,3.26,RU,1589600207
54,redcliffe,-27.23,153.1,23.89,53,40,7.7,AU,1589600207
55,hofn,64.25,-15.21,2.02,75,10,4.88,IS,1589600207
56,severo-kurilsk,50.68,156.12,3.45,82,88,1.51,RU,1589600208
57,vaitupu,,,,,,,,
58,canyon lake,29.88,-98.26,26.11,87,100,2.24,US,1589600208
59,lake havasu city,34.48,-114.32,31,19,1,1.5,US,1589600208
60,tarudant,,,,,,,,
61,erzin,36.96,36.2,23.89,57,0,4.02,TR,1589600209
